,,,,,,
,,,,,,
,,,,,,
,Picture,UUID,Raw DAT💾,Object Name/Download💾,Type,Description (if available)
,,00000000-00000000-00000000-00000001,3541130121_DAT,Scene,Other,The virtual scene object for scripted resources
,,00000000-00000000-00000000-0000000B,2449592312_DAT,Bubble Machine,Other,A fun bubbly toy. [#Legal]
,,00000000-00000000-00000000-0000000F,3971401678_DAT,Ice Breaker,Furniture,Keep the ball bouncing and smash all of the ice blocks!
,,00000000-00000000-00000000-00000016,2921386421_DAT,Enter game session comments,Other,
,,00000000-00000000-00000000-000000A0,887283245_DAT,PRESS [CROSS] TO START,Other,
,,00000000-00000000-00000000-00010001,3323756766_DAT,Spiky,Male Hair,
,,00000000-00000000-00000000-00010002,1750035486_DAT,Mid Length Mop,Male Hair,
,,00000000-00000000-00000000-00010003,1069069571_DAT,Shaved,Male Hair,Description [#Legal]
,,00000000-00000000-00000000-00010004,3582123709_DAT,Side Parting,Male Hair,
,,00000000-00000000-00000000-00010005,4002105037_DAT,Short afro,Male Hair,
,,00000000-00000000-00000000-00010006,3321139122_DAT,Afro,Male Hair,
,,00000000-00000000-00000000-00010007,2640173207_DAT,Dreads Tied Back,Male Hair,
,,00000000-00000000-00000000-00010008,1959207292_DAT,Ponytail,Male Hair,
,,00000000-00000000-00000000-00010009,624341970_DAT,Bald,Male Hair,
,,00000000-00000000-00000000-00010010,2958620334_DAT,Punk Spikes,Male Hair,
,,00000000-00000000-00000000-00010011,3005066322_DAT,Hoxton Fin,Male Hair,
,,00000000-00000000-00000000-00010012,57520720_DAT,Shaved Receding,Male Hair,
,,00000000-00000000-00000000-00010013,2901938209_DAT,Flat-Top,Male Hair,
,,00000000-00000000-00000000-00010014,962168577_DAT,Centre Parting,Male Hair,
,,00000000-00000000-00000000-00010015,281202662_DAT,Trendy Crop,Male Hair,
,,00000000-00000000-00000000-00010016,3895204043_DAT,Spiky Crop,Male Hair,Description [#Legal]
,,00000000-00000000-00000000-00010017,3214238128_DAT,Layered Mid Length,Male Hair,
,,00000000-00000000-00000000-00010018,2533272213_DAT,Mohawk,Male Hair,Mohawk [#Legal]
,,00000000-00000000-00000000-00010019,2788573959_DAT,Cropped Mohawk,Male Hair,
,,00000000-00000000-00000000-00010020,4260097158_DAT,Receding Spiky,Male Hair,
,,00000000-00000000-00000000-00010021,3579131243_DAT,Long Spiky Crop,Male Hair,
,,00000000-00000000-00000000-00010022,2898165328_DAT,Long Afro,Male Hair,
,,00000000-00000000-00000000-00010023,771202902_DAT,Cornrows,Male Hair,
,,00000000-00000000-00000000-00010025,2165070584_DAT,Beanie Hat,Male Hat,
,,00000000-00000000-00000000-00010031,66260739_DAT,Black Bucket Hat,Male Hat,This simple black bucket hat looks great and keeps the sun off. [#Legal]
,,00000000-00000000-00000000-00010032,91017402_DAT,Bucket Hat,Male Hat,
,,00000000-00000000-00000000-00010034,2595706118_DAT,Jungle-Camo Bucket Hat,Male Hat,Keep those harmful UV-rays off and look your best with this jungle camo bucket hat. [#Legal]
,,00000000-00000000-00000000-00010037,275432545_DAT,White Bucket Hat,Male Hat,It's summer. Look no further than this simple white bucket hat. [#Legal]
,,00000000-00000000-00000000-00010039,2822070641_DAT,Baseball Cap,Male Hat,
,,00000000-00000000-00000000-00010040,1321291575_DAT,Blue Baseball Cap,Male Hat,Authentic 1950s baseball cap in blue. [#Legal]
,,00000000-00000000-00000000-00010041,640325660_DAT,Grey Baseball Cap,Male Hat,Classic baseball cap in grey. [#Legal]
,,00000000-00000000-00000000-00010042,4254327041_DAT,Red Baseball Cap,Male Hat,Classic baseball cap in red. [#Legal]
,,00000000-00000000-00000000-00010047,3592434948_DAT,Cowboy Hat,Male Hat,A rugged cowboy hat with simple leather band. [#Legal]
,,00000000-00000000-00000000-00010049,3782532932_DAT,Black and Grey Flatcap,Male Hat,"A classic black and grey flat cap, great for all seasons. [#Legal]"
,,00000000-00000000-00000000-00010050,1895356496_DAT,Black and Red Flatcap,Male Hat,"A classic black and red flat cap, great for all seasons. [#Legal]"
,,00000000-00000000-00000000-00010051,1214390581_DAT,Black and Brown Flatcap,Male Hat,"A classic black and brown flat cap, great for all seasons. [#Legal]"
,,00000000-00000000-00000000-00010052,124514084_DAT,Do-rag,Male Hat,Keep your hair free from dust and grime in this no nonsense do-rag. [#Legal]
,,00000000-00000000-00000000-00010055,2785494217_DAT,Urban-Camo Do-rag,Male Hat,Keep your edge with this urban-camo do-rag. [#Legal]
,,00000000-00000000-00000000-00010056,2104528302_DAT,Red Do-rag,Male Hat,Plain red do-rag. [#Legal]
,,00000000-00000000-00000000-00010057,1423562387_DAT,Black Skull Do-rag,Male Hat,Edgy black do-rag with skull pattern. [#Legal]
,,00000000-00000000-00000000-00010058,742596472_DAT,Red Skull Do-rag,Male Hat,Edgy red do-rag with skull pattern. [#Legal]
,,00000000-00000000-00000000-00010059,61630557_DAT,Stars &amp; Stripes Do-rag,Male Hat,"Support the stars and stripes with the ""Old Glory"" do-rag. [#Legal]"
,,00000000-00000000-00000000-00010063,426523672_DAT,Army Beret,Male Hat,"Looking for that military style, then try on this army beret for size. [#Legal]"
,,00000000-00000000-00000000-00010067,1997627308_DAT,Fedora,Male Hat,Look smart and stylish in this time honoured fedora.  [#Legal]
,,00000000-00000000-00000000-00010068,2175381823_DAT,Porkpie Hat,Male Hat,Porkpie Hat [#Legal]
,,00000000-00000000-00000000-00020000,891604878_DAT,Bare Hands,Male Hands,
,,00000000-00000000-00000000-00020001,3612850894_DAT,Work Gloves,Male Hands,
,,00000000-00000000-00000000-00030000,989739771_DAT,T-Shirt,Male Tors,Classic T-Shirt
,,00000000-00000000-00000000-00030002,711522541_DAT,Home T-Shirt,Male Tors,Classic Home T-Shirt
,,00000000-00000000-00000000-00030012,252872146_DAT,Sweatshirt,Male Tors,
,,00000000-00000000-00000000-00030017,1590057703_DAT,Polo Shirt,Male Tors,
,,00000000-00000000-00000000-00030023,493962974_DAT,White Hooded Top,Male Tors,A casual white hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030025,3426998440_DAT,Black Hooded Top,Male Tors,A casual black hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030026,2746032525_DAT,Green Hooded Top,Male Tors,A casual green hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030027,3754289692_DAT,Hooded Top,Male Tors,A casual hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030028,1384100695_DAT,Jungle-Camo Hooded Top,Male Tors,A casual jungle camo hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030029,703134780_DAT,Urban-Camo Hooded Top,Male Tors,A casual urban camo hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030030,3110925640_DAT,Navy Hooded Top,Male Tors,A casual navy hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030031,2429959725_DAT,Pale Blue Hooded Top,Male Tors,A casual blue hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030032,1748993810_DAT,Pale Pink Hooded Top,Male Tors,A casual pink hooded top with front pocket. Perfect for those colder days. [#Legal]
,,00000000-00000000-00000000-00030036,3074104192_DAT,Layered T-Shirt,Male Tors,
,,00000000-00000000-00000000-00030040,3684990561_DAT,Red Biker Jacket,Male Tors,Vintage red biker jacket. [#Legal]
,,00000000-00000000-00000000-00030042,2323058731_DAT,Striped Shades of Brown Dress Shirt,Male Tors,Dress to impress in this flamboyant striped dress shirt in shades of brown. [#Legal]
,,00000000-00000000-00000000-00030049,1851264622_DAT,Charcoal Waistcoat with Black Shirt,Male Tors,Look and feel great in this charcoal fitted waistcoat over a stylish black shirt. [#Legal]
,,00000000-00000000-00000000-00030054,1713733192_DAT,Military Jacket,Male Tors,"Military jacket, four pockets and drawstring waist. [#Legal]"
,,00000000-00000000-00000000-00030057,1657051067_DAT,Padded Gilet over Fleece,Male Tors,A comfy puffer vest jacket over a fleece long sleeved shirt.  [#Legal]
,,00000000-00000000-00000000-00030061,4152154488_DAT,Blue Tank Top,Male Tors,Smart casual blue tank top over a fitted white shirt. [#Legal]
,,00000000-00000000-00000000-00030065,2427415374_DAT,Turtleneck,Male Tors,Going smart or casual this timeless turtleneck goes with anything. [#Legal]
,,00000000-00000000-00000000-00030069,2999394464_DAT,Denim Jacket,Male Tors,This timeless denim jacket never goes out of style.  [#Legal]
,,00000000-00000000-00000000-00030075,2002355749_DAT,White Top with Blue Raglan Sleeves,Male Tors,White top with blue raglan sleeves. [#Legal]
,,00000000-00000000-00000000-00030076,3141097556_DAT,Cardigan,Male Tors,Cardigan [#Legal]
,,00000000-00000000-00000000-00030082,2517594181_DAT,Vest Top,Male Tors,
