"ID","revision","have-sdat","have-odc","have-l-thumb","have-s-thumb","extra data"
"F14C0D58-A3934173-99C50269-84DCB78C","45","1","1","1","1",""
"2853E8EA-24C44154-BCCFC5AE-D9D9A7E7","31","1","1","1","1",""
"00000000-00000000-00000010-00000001","47","1","1","1","1",""
"00000000-00000000-00000000-01050002","1","1","1","0","1",""
"00000000-00000000-00000000-01040000","32","1","1","0","1",""
"00000000-00000000-00000000-01030008","1","1","1","0","1",""
"00000000-00000000-00000000-01020000","1","1","1","0","1",""
"00000000-00000000-00000000-01010014","31","1","1","1","1",""
"00000000-00000000-00000000-01010004","31","1","1","1","1",""
"00000000-00000000-00000000-00050000","1","1","1","0","1",""
"00000000-00000000-00000000-00040000","1","1","1","0","1",""
"00000000-00000000-00000000-00030002","1","1","1","0","1",""
"00000000-00000000-00000000-00020000","1","1","1","0","1",""
"00000000-00000000-00000000-00010016","31","1","1","1","1",""
"00000000-00000000-00000000-00010003","31","1","1","1","1",""
"00000000-00000000-00000000-00010001","31","1","1","1","1",""
"D25CCFAD-894A45F0-A349DFC4-9AC71E94","35","1","1","1","1",""
"00000000-00000000-00000000-00000001","0","1","1","0","0",""
"3E244AEB-A04B42EE-88157BF9-A0407255","58","1","1","1","1",""
"E3768836-CD2F4DDA-B1C95EC4-BFDECD2F","146","1","1","1","1","Multiple tnums: 144, 146"
"49602C4C-016C408E-9A1D2303-6624D5F8","50","1","1","1","1",""
"00000000-00000000-00000000-00030036","0","1","1","0","1",""
"011504A5-F5864C04-938A662B-38129D72","36","1","1","1","1",""
"00000000-00000000-00000000-00040007","0","1","1","0","1",""
"00000000-00000000-00000000-00050028","0","1","1","0","1",""
"B7B8593F-4C614B69-84B7A3B9-1CC7243D","31","1","1","1","1",""
"9DA57596-12D54171-9C6F2F1A-2EABA6FF","46","1","1","1","1",""
"49976309-6A1D4965-B3599E5A-EFF81F0F","46","1","1","1","1",""
"883856DC-E9FA419C-9470FAC8-2560EDCB","43","1","1","1","1",""
"B901491A-692F456F-A1C84127-DECB5178","44","1","1","1","1",""
"334054B7-71CF4F33-8526F4A8-FCC27A47","35","1","1","1","1",""
"8245861F-7D424167-9F030AB2-5C466226","34","1","1","1","1",""
"E06EE895-066B4603-ACCCAC93-34BD7755","34","1","1","1","1",""
"848CDB3E-2E7A4D44-923A0D87-F1572D1B","35","1","1","1","1",""
"B50E94E5-353D4F63-8D1A9644-98378677","35","1","1","1","1",""
"394752F0-E8DF462B-8CF17D7C-63A570FE","39","1","1","1","1",""
"BF2FBC1F-12E742EC-81CA085A-AC3E4CE7","36","1","1","1","1",""
"16509586-46F74801-8AFC2424-78D544BC","34","1","1","1","1",""
"8A8E8CA7-BD894DAF-B986F6F1-E780062D","32","1","1","1","1",""
"FDC2315B-F8D94357-9BBBEE40-181949E7","39","1","1","1","1",""
"50553AAA-5AE74CCB-8E5F56CD-6386B452","35","1","1","1","1",""
"13598DC4-89C44B4B-A1122919-107C14FC","35","1","1","1","1",""
"ABB160BF-72EF454A-97D2BE71-8C99011C","42","1","1","1","1",""
"71FD96FC-47C840BB-BFE9B9FE-8D05A0B8","33","1","1","1","1",""
"2C584674-02E04F51-8B37E0EE-5D78D8CC","31","1","1","1","1",""
"956E3043-6B2B40A1-913D5329-BA2986C9","31","1","1","1","1",""
"DE94159A-B5704287-887AAFA3-96E3D265","34","1","1","0","1",""
"00000000-00000000-00000000-00070009","0","1","1","0","1",""
"46AF4A76-16DF4A70-B99BFE4F-3E6442E9","31","1","1","1","1",""
"00000000-00000000-00000000-00060008","0","1","1","0","1",""
"00000000-00000000-00000000-00070007","0","1","1","0","1",""
"00000000-00000000-00000000-00030082","0","1","1","0","1",""
"00000000-00000000-00000000-01040023","0","1","1","0","1",""
"A10546E9-41DD47AD-856169F6-FAADDD9F","31","1","1","1","1",""
"00000000-00000000-00000000-01070006","0","1","1","0","1",""
"00000000-00000000-00000000-00010039","0","1","1","0","1",""
"00000000-00000000-00000000-00050035","0","1","1","0","1",""
"00000000-00000000-00000000-00060004","0","1","1","0","1",""
"00000000-00000000-00000000-00040022","0","1","1","0","1",""
"00000000-00000000-00000000-00060001","0","1","1","0","1",""
"20F9140A-B7134C9B-84909D32-3BAF5247","39","1","1","1","1",""
"00000000-00000000-00000000-00050038","0","1","1","0","1",""
"00000000-00000000-00000000-00030000","0","1","1","0","1",""
"18FD432E-8D92432C-85A0ADF0-F3A2C728","31","1","1","1","1",""
"DFECE3BB-66EF4722-A611C820-866039F3","31","1","1","1","1",""
"2F1272B8-DB8E40E2-966B0867-A6B3AB91","32","1","1","1","1",""
"F4215573-EA314150-811B0396-AEC01540","34","1","1","1","1",""
"6AB71CC3-64394D38-80185FCB-47DFF519","31","1","1","1","1",""
"00000000-00000000-00000000-01050055","0","1","1","0","1",""
"97882D03-88884D47-BB1489C4-27CBB25F","31","1","1","1","1",""
"725FB6CF-3EFE4535-A99470F3-85A113DC","34","1","1","1","1",""
"079919D5-BF9F40D1-A8EB43E1-9CAE9C24","35","1","1","1","1",""
"47F29B5C-F9FF4D7E-806A9E1C-96D2D8BD","31","1","1","1","1",""
"54519ABB-994F47DF-A77C5B2E-11DE6AE8","33","1","1","1","1",""
"CDD78722-701A4B0F-9B32D67F-5CF4CBB8","31","1","1","1","1",""
"A7D02685-7D0F460A-AD433308-519A7A1E","31","1","1","1","1",""
"B81C74D7-E35549E1-A90AF4A0-CE9C4628","31","1","1","1","1",""
"8B53A6E8-166848D5-A8DAD425-CB1F1BD4","31","1","1","1","1",""
"3215839D-F5A64BFD-A5309AA2-6EA07CC3","0","1","1","0","1",""
"00000000-00000000-00000000-00040040","0","1","1","0","1",""
"1F03C805-CC164AFD-B9C5E663-B36D9F14","0","1","1","0","1",""
"689EC8A7-0C314606-AA97922F-7610E03A","0","1","1","0","1",""
"377A7A66-33C14C7F-80332C34-7CE7D55D","31","1","1","1","1",""
"3193CB51-56B84454-A4416158-07ED1581","32","1","1","1","1",""
"583BBA78-DE3C467E-81078861-1E9318B4","32","1","1","1","1",""
"D5C4EAA2-C2A64545-98C9DAC0-275A4759","31","1","1","1","1",""
"3B1DDF70-A89B4485-B13F5D3D-BC82C861","31","1","1","1","1",""
"F666A98C-DCE34096-A33CDA0B-0378D3C8","0","1","1","0","1",""
"AB1760E7-CA1543EA-99A74571-95F48049","34","1","1","0","1",""
"86B88A5D-ED1B41AC-8E8A5B09-9A7BCDD5","35","1","1","1","1",""
"B9541486-F9894526-880BA026-F327ED40","31","1","1","1","1",""
"8EEC159F-241C4152-ADD97C38-18CE10D4","31","1","1","1","1",""
"00000000-00000000-00000000-01030075","0","1","1","0","1",""
"CDDD4894-4CE0469C-9B0EF69B-DF98B710","0","1","1","0","1",""
"C28B3FB1-81124B93-B595376C-AAC582A7","33","1","1","1","1",""
"2D1B54DF-988B4A25-B6131543-DFD5DF35","32","1","1","1","1",""
"C0AD46F5-EC2941D5-A8D87CD9-2FFD7233","31","1","1","1","1",""
"5D469D9C-1BAC4996-BBA70228-1DAA19F8","31","1","1","1","1",""
"00000000-00000000-00000000-01040045","0","1","1","0","1",""
"00000000-00000000-00000000-01050052","0","1","1","0","1",""
"00000000-00000000-00000000-01030025","0","1","1","0","1",""
"06C10188-155A4919-BE2B689E-BFB731D3","31","1","1","1","1",""
"A6CDF094-CDF548DE-A1128B85-75C61D06","0","1","1","0","1",""
"A266FD71-BD6044F6-902E6609-7AB50188","31","1","1","1","1",""
"8D1F1F41-06924EF0-B4C364C7-D33B52EE","39","1","1","1","1",""
"2265450B-1EA04F6E-AB486ABF-36034812","31","1","1","1","1",""
"B8142061-F5C54066-90B843F4-D00BFC4D","31","1","1","1","1",""
"AD8FA403-0566421B-8A7CF103-8B445343","34","1","1","1","1",""
"2FCA0A6E-151F4BF3-8D94F8D1-F52432A6","32","1","1","1","1",""
"FC61BAAF-A4CF4691-8A90300B-1E052D1D","32","1","1","1","1",""
"388BD010-79684C15-A57DE510-60D3F887","33","1","1","1","1",""
"12092F79-2D614166-A291DEB1-4CD359DE","32","1","1","1","1",""
"8F967A34-7432494C-A5000987-6815523E","32","1","1","1","1",""
"B5BBC99A-C47C45AF-8E9E394C-571098A5","33","1","1","1","1",""
